City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
614,Palauig,PH,76.8,clear sky,15.435,119.9045,Alperi Botique Resort
615,Tateyama,JP,40.93,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
616,Kolaras,IN,58.19,clear sky,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
617,Saint-Leu,RE,79.66,few clouds,-21.15,55.2833,La Caz Oceane
618,Kaitangata,NZ,59.45,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
619,Patnanungan,PH,78.62,overcast clouds,14.7833,122.1833,Villa Caesar
620,Isla Vista,US,75.69,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
621,Komatipoort,ZA,74.05,overcast clouds,-25.4332,31.9548,Kruger View Backpackers
622,Iturama,BR,73.96,broken clouds,-19.7281,-50.1956,República DominaCana
623,Kawalu,ID,72.19,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
624,Miajadas,ES,54.77,broken clouds,39.1513,-5.9084,Hotel Triana
625,Prainha,BR,79.52,overcast clouds,-1.8,-53.48,Casa Rocha
627,Whitianga,NZ,69.03,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
629,Rocha,UY,81.99,clear sky,-34.4833,-54.3333,Hotel Arrarte
630,Maningrida,AU,78.87,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
631,Veliki Crljeni,RS,42.08,few clouds,44.4675,20.2844,Loft Apartments
632,Conceicao Do Araguaia,BR,80.46,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
633,Kirakira,SB,81.09,overcast clouds,-10.4544,161.9205,SanBiz Lodge
634,Kloulklubed,PW,82.24,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
635,Makakilo City,US,77.29,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
636,Tres Arroyos,AR,79.23,scattered clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
637,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
638,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
639,Yamethin,MM,58.35,clear sky,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
640,Bouguenais,FR,47.23,overcast clouds,47.1776,-1.6214,Hotel Oceania Nantes Aéroport
642,Artyom,AZ,42.94,overcast clouds,40.4723,50.333,Merdan Respect
643,Calvinia,ZA,79.43,overcast clouds,-31.4707,19.776,Die Lemoenhuis
644,Port Hardy,CA,41.76,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
645,Sinjar,IQ,40.59,broken clouds,36.3209,41.8754,زوماني فون 1
646,Bombay,IN,75.18,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
647,Port Pirie,AU,71.69,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
649,Saldanha,ZA,69.85,broken clouds,-33.0117,17.9442,Blue Bay Lodge
650,Kikwit,CD,75.79,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
651,Port Keats,AU,81.37,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
652,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
653,Kindu,CD,73.29,overcast clouds,-2.95,25.95,Résidence Okanda
654,Llanes,ES,51.89,broken clouds,43.4198,-4.7549,Hotel La Paz
655,Saint-Francois,FR,42.24,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
656,Port Augusta,AU,81.72,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
657,Guerrero Negro,MX,64.87,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
658,Potam,MX,76.91,overcast clouds,27.6,-110.3833,Ejido La Pimienta
659,Beira,MZ,78.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
660,Bairnsdale,AU,66.47,broken clouds,-37.8333,147.6167,Town Central Motel
661,Wanning,CN,69.3,light rain,18.8003,110.3967,Paradise Hotel
662,Bowen,AU,77.22,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
663,Perth,AU,69.98,clear sky,-31.9333,115.8333,Beatty Lodge
664,Palmerston North,NZ,67.5,few clouds,-40.35,175.6167,Distinction Coachman Hotel Palmerston North
665,Correntina,BR,75.88,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
666,Erzin,TR,45.12,broken clouds,36.9559,36.2,Artemis Otel
667,Trairi,BR,76.64,overcast clouds,-3.2778,-39.2689,janelas do mar
668,Huancavelica,PE,43.75,overcast clouds,-12.7667,-74.9833,Hotel Victoria Huancavelica
669,Hobyo,SO,76.87,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
670,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
671,Coruripe,BR,82.78,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
672,Kikuyu,KE,63.03,overcast clouds,-1.2458,36.6633,Rhodes Place
673,Teramo,IT,57.49,clear sky,42.65,13.6833,Hotel Gran Sasso
674,Luena,AO,62.83,overcast clouds,-11.7833,19.9167,Hotel Kandamba
675,Port Elizabeth,ZA,75.09,few clouds,-33.918,25.5701,39 On Nile Guest House
676,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
677,Matamoros,MX,69.12,few clouds,25.5333,-103.25,Quinta Belem
678,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,Hotel Fórum
679,Bad Vilbel,DE,40.35,clear sky,50.1787,8.7376,City Hotel
680,Sabang,ID,81.5,broken clouds,5.8933,95.3214,Hotel Citra
681,Amparafaravola,MG,67.69,scattered clouds,-17.5833,48.2167,Aina Franco
682,Portland,US,52.09,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
683,Biak,ID,76.35,overcast clouds,-0.9131,122.8766,Penginapan Kim
684,Ancud,CL,62.13,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
686,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
687,Muli,MV,81.95,broken clouds,2.9167,73.5667,Medhufushi Island Resort
688,Dharmadam,IN,75.79,clear sky,11.7833,75.4333,Samudra Homes
689,Nouadhibou,MR,67.98,haze,20.931,-17.0347,El Medina
690,Yarim,YE,53.01,scattered clouds,14.298,44.3779,وليد المسوري ابو اسد
691,Sao Filipe,CV,71.76,overcast clouds,14.8961,-24.4956,Hotel Xaguate
692,La Plaine,DM,84.49,few clouds,15.3333,-61.25,Citrus Creek Plantation
693,Aswan,EG,58.3,clear sky,24.0934,32.907,Nuba Nile
694,Axim,GH,79.9,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
695,Ulladulla,AU,69.76,broken clouds,-35.35,150.4667,Sandpiper Motel
696,Kokopo,PG,76.71,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
697,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
699,Madison,US,56.77,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
700,Tumsar,IN,59.29,clear sky,21.3833,79.7333,Sai Guest House
701,Rio Grande,BR,80.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
702,Mangaratiba,BR,83.53,light rain,-22.9597,-44.0406,Portobello Resort & Safari
703,Soyo,AO,79.27,light rain,-6.1349,12.3689,Hotel Mpampa
704,Srivardhan,IN,70.29,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
705,San Policarpo,PH,78.42,few clouds,12.1791,125.5072,Agapita M. Nicart
706,Flinders,AU,71.19,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
707,Levice,SK,42.44,light rain,48.2156,18.6071,Business Hotel ASTRUM Laus
708,Tuatapere,NZ,60.82,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
709,Bayir,TR,43.32,overcast clouds,37.2687,28.2167,Hotel Babadag
710,Voh,NC,78.28,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
711,Cascais,PT,60.06,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
713,Okitipupa,NG,70.47,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
714,Chimbote,PE,74.62,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
715,Kingsville,US,72.01,overcast clouds,27.5159,-97.8561,Econo Lodge Kingsville
716,Puerto Maldonado,PE,81.0,broken clouds,-12.6,-69.1833,Wasai Hotel
717,Jamkhandi,IN,69.26,clear sky,16.5167,75.3,Hotel Shreyas
718,Kwinana,AU,70.14,clear sky,-32.25,115.7667,Rockingham Apartments
719,Naron,ES,52.66,clear sky,43.5167,-8.1528,Marcial
720,Nortelandia,BR,76.66,light rain,-14.4547,-56.8028,Hotel Karysmã
721,Coari,BR,80.46,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
722,Half Moon Bay,US,64.15,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
723,Timizart,DZ,47.62,clear sky,36.8,4.2667,yefssah restaurant
724,Presidente Medici,BR,72.5,heavy intensity rain,-11.1753,-61.9014,Oliveira Palace Hotel
725,Mangrol,IN,67.08,clear sky,21.1167,70.1167,Hotel The Royal Honours
726,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
728,Plettenberg Bay,ZA,69.78,broken clouds,-34.0527,23.3716,Thanda Vista B&B
729,Copiapo,CL,71.29,clear sky,-27.3667,-70.3333,San Francisco de La Selva
730,Port Moresby,PG,74.79,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
731,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
732,Alexandria,EG,55.36,scattered clouds,31.2156,29.9553,Royal Crown Hotel
733,Lampazos De Naranjo,MX,69.4,clear sky,27.0167,-100.5167,Bella Vista
734,Fuerte,PH,72.52,clear sky,17.5381,120.3644,Giordion Inn
735,Nouakchott,MR,69.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN
736,Am Timan,TD,76.8,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
737,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
738,Kambove,CD,62.19,moderate rain,-10.8764,26.5969,Couvant des soeurs catholiques
739,Moree,AU,71.62,overcast clouds,-29.4667,149.85,Molika Springs Motel
740,Russell,US,61.97,clear sky,32.3502,-85.1999,Macs
741,Tamiahua,MX,69.1,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
742,Asau,RO,40.75,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
743,Mohan,IN,53.55,clear sky,26.7833,80.6833,Deepu Chauhan Dhaba
744,Roebourne,AU,84.13,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
745,Ambilobe,MG,75.43,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
746,South Lake Tahoe,US,49.53,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
747,Itoman,JP,59.02,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
748,Lasa,IT,46.31,few clouds,46.6166,10.7002,Pension Feldgärtenhof
749,Churachandpur,IN,40.96,clear sky,24.3333,93.6667,M.Pumkhanjam' INN
750,Cooma,AU,62.37,broken clouds,-36.2333,149.1333,High Country Motel
751,Esperance,AU,67.84,broken clouds,-33.8667,121.9,Hospitality Esperance
752,Gushikawa,JP,58.23,broken clouds,26.3544,127.8686,Kirari Guest House
753,Ternate,ID,79.41,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
755,Newcastle,AU,72.72,overcast clouds,-32.9272,151.7765,NOAH'S on the beach
756,Methoni,GR,50.22,broken clouds,36.8197,21.7049,Methoni Beach Hotel
757,Acari,PE,79.14,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
758,Chiang Mai,TH,60.87,clear sky,18.75,99.0,"Holiday Inn Chiangmai, an IHG Hotel"
759,Cookeville,US,51.51,clear sky,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
760,Thohoyandou,ZA,67.28,light rain,-22.9456,30.485,Masili Guesthouse & Conference
